"eov","period","cell","n","sp","es"
"fish",1960,"836d2afffffffff",4,3,NA
"fish",1960,"835e6efffffffff",3,3,NA
"fish",1960,"832acbfffffffff",1,1,NA
"fish",1960,"834c11fffffffff",3,3,NA
"fish",1960,"834c30fffffffff",8,1,NA
"fish",1960,"836d6dfffffffff",3,1,NA
"fish",1960,"836dadfffffffff",1,1,NA
"fish",1960,"836702fffffffff",1,1,NA
"fish",1960,"834425fffffffff",1,1,NA
"fish",1960,"836606fffffffff",190,114,41.5584583705065
"fish",1960,"83442cfffffffff",6,6,NA
"fish",1960,"8344f6fffffffff",83,54,37.0189301840996
"fish",1960,"836713fffffffff",2,2,NA
"fish",1960,"836756fffffffff",32,27,NA
"fish",1960,"836d6afffffffff",141,83,40.3743924379512
"fish",1960,"836d6efffffffff",70,58,43.9130434782602
"fish",1960,"834584fffffffff",121,42,29.5058511448144
"fish",1960,"834599fffffffff",102,64,39.0679420883269
"fish",1960,"8345b2fffffffff",54,38,36.0319840885879
"fish",1960,"834c8cfffffffff",15,14,NA
"fish",1960,"835e43fffffffff",18,15,NA
"fish",1960,"835e63fffffffff",12,8,NA
"fish",1960,"834444fffffffff",3,2,NA
"fish",1960,"834531fffffffff",10,9,NA
"fish",1960,"834533fffffffff",23,16,NA
"fish",1960,"836782fffffffff",107,71,39.9036530409181
"fish",1960,"8344abfffffffff",214,108,39.2423319533647
"fish",1960,"8366b5fffffffff",130,87,41.5830724148304
"fish",1960,"834cc4fffffffff",14,10,NA
"fish",1960,"835e46fffffffff",45,33,NA
"fish",1960,"83441cfffffffff",10,8,NA
"fish",1960,"83449afffffffff",1,1,NA
"fish",1960,"8367b4fffffffff",26,22,NA
"fish",1960,"8345a4fffffffff",34,28,NA
"fish",1960,"834510fffffffff",3,3,NA
"fish",1960,"834442fffffffff",459,18,10.2427652625081
"fish",1960,"836d2cfffffffff",42,12,NA
"fish",1960,"834ce9fffffffff",67,29,25.2107578197024
"fish",1960,"836d35fffffffff",16,15,NA
"fish",1960,"835e66fffffffff",37,30,NA
"fish",1960,"834c8dfffffffff",9,8,NA
"fish",1960,"834585fffffffff",4,4,NA
"fish",1960,"8345a3fffffffff",9,7,NA
"fish",1960,"834ca2fffffffff",3,3,NA
"fish",1960,"836d02fffffffff",7,5,NA
"fish",1960,"836d61fffffffff",26,14,NA
"fish",1960,"834d91fffffffff",1,1,NA
"fish",1960,"834cf3fffffffff",12,12,NA
"fish",1960,"836d64fffffffff",2,2,NA
