"cell","spue","effort","target"
"8544a1c7fffffff",0,10,0
"8544a56bfffffff",0,2,0
"8544a5abfffffff",0,39,0
"8544a5bbfffffff",0,8,0
"8544a82bfffffff",0,3,0
"8544a84ffffffff",0,10,0
"8544a8cbfffffff",0,10,0
"8544a993fffffff",0,1,0
"854402cffffffff",0,3,0
"854ced47fffffff",0.916666666666667,12,11
"855f594bfffffff",0,3,0
"85662583fffffff",0,1,0
"8544ab4ffffffff",0,1,0
"8544ae0bfffffff",0,2,0
"8544ae83fffffff",0,1,0
"8544b397fffffff",0,10,0
"8544e42ffffffff",0,74,0
"8544e473fffffff",0,82,0
"8544e477fffffff",0,23,0
"8544e507fffffff",0,3,0
"8544e5b3fffffff",0,8,0
"8544e5c3fffffff",0,11,0
"8544e68bfffffff",0,1,0
"8544f20bfffffff",0,48,0
"8544f607fffffff",0.0666666666666667,15,1
"8544f613fffffff",0,12,0
"8544f663fffffff",0,19,0
"8544f673fffffff",0,4,0
"8544f6c3fffffff",0,14,0
"8544164ffffffff",0,3,0
"85441867fffffff",0,1,0
"85441917fffffff",0,1,0
"8544193bfffffff",0,7,0
"85441953fffffff",0,1,0
"85441bc3fffffff",0,1,0
"85441cd3fffffff",0,2,0
"85441d63fffffff",0,2,0
"85441e53fffffff",0,48,0
"8544332ffffffff",0,9,0
"8544337bfffffff",0,2,0
"854894dbfffffff",0,2,0
"854896c7fffffff",0,29,0
"8548b257fffffff",0,1,0
"8548b673fffffff",0,1,0
"854c990bfffffff",0,1,0
"854cd317fffffff",0,1,0
"8545480ffffffff",0,2,0
"8545490bfffffff",0,2,0
"85454913fffffff",0,3,0
"8545492ffffffff",0,34,0
"85454b07fffffff",0,1,0
"85454b4bfffffff",0,1,0
"85454d03fffffff",0,1,0
"85455147fffffff",0,1,0
"8545642ffffffff",0,1,0
"854409abfffffff",0,4,0
"854409bbfffffff",0,7,0
"85440c63fffffff",0,1,0
"85440d2bfffffff",0,1,0
"85440e7bfffffff",0,1,0
"85440ec3fffffff",0,3,0
"85446413fffffff",0,1,0
"8544644ffffffff",0,9,0
"85446457fffffff",0,1,0
"8544645bfffffff",0,2,0
"854465dbfffffff",0,18,0
"85446637fffffff",0,2,0
"85447217fffffff",0,23,0
"854474affffffff",0,1,0
"854475a3fffffff",0,3,0
"854475c7fffffff",0,12,0
"85672197fffffff",0,1,0
"85672297fffffff",0,1,0
"85672d5bfffffff",0,1,0
"85678edbfffffff",0,1,0
"856798c7fffffff",0,1,0
"85679943fffffff",0,1,0
"856d6aa7fffffff",0.666666666666667,3,2
"85447677fffffff",0,2,0
"85448157fffffff",0,1,0
"85448573fffffff",0,1,0
"85448667fffffff",0,2,0
"8544999bfffffff",0,1,0
"85449b67fffffff",0,1,0
"85449b9bfffffff",0,1,0
"8544a147fffffff",0,1,0
"8544aa33fffffff",0,1,0
"8544aa8ffffffff",0,1,0
"852ac913fffffff",0,1,0
"852ac9abfffffff",0,1,0
"852acb23fffffff",0,1,0
"853b926bfffffff",0,1,0
"85440443fffffff",0,1,0
"854404abfffffff",0,1,0
"85440603fffffff",0,1,0
"854ce95bfffffff",0,2,0
"854cf097fffffff",0,1,0
"854cf0c3fffffff",0,1,0
"854d2313fffffff",0,1,0
"854d3353fffffff",0,1,0
"854d350bfffffff",0,1,0
"854d761bfffffff",0,1,0
"854d82d3fffffff",0,1,0
"854d83cbfffffff",0,1,0
"854d8607fffffff",0,1,0
"854d8eb3fffffff",0,1,0
"854d90c3fffffff",0,1,0
"854d90cffffffff",0,1,0
"854d92d3fffffff",0,1,0
"854d934bfffffff",0,1,0
"854d95c7fffffff",0,1,0
"854d96a7fffffff",0,1,0
"854da253fffffff",0,1,0
"854da273fffffff",0,1,0
"854da283fffffff",0,1,0
"854da2c3fffffff",0,1,0
"854da62ffffffff",0,1,0
"854db0b7fffffff",0,1,0
"854db23bfffffff",0,2,0
"854db347fffffff",0,2,0
"854db57bfffffff",0,1,0
"855e400bfffffff",0,1,0
"855e46cffffffff",0,1,0
"855e4b67fffffff",0,1,0
"855e4bbbfffffff",0.5,2,1
"855e5dbbfffffff",0.333333333333333,3,1
"8566120ffffffff",0,2,0
"8544b0d3fffffff",0,1,0
"8544b167fffffff",0,1,0
"8544b6d7fffffff",0,1,0
"854429d7fffffff",0,1,0
"85442a13fffffff",0,1,0
"85442a17fffffff",0,1,0
"85442ab3fffffff",0,1,0
"85442b83fffffff",0,1,0
"85442bc3fffffff",0,1,0
"85442d53fffffff",0,2,0
"85442d83fffffff",0,1,0
"854430b3fffffff",0,2,0
"856c0447fffffff",0,2,0
