"group","res","area_km2","n_cells","n_cells_all","frac_cells_all","records","median_n","q25_n","q75_n","frac_eligible","median_es","median_sp","median_sp_elig","frac_n_ge_10","frac_n_ge_30","frac_n_ge_100"
"hardCorals",2,86801.78,1391,5799,0.239868942921193,973555,25,4,189,0.411214953271028,18.7628185452376,6,37.5,0.631919482386772,0.478792235801582,0.319194823867721
"hardCorals",3,12393.435,3556,36893,0.0963868484536362,973555,11,3,65.25,0.282902137232846,17.2688390587792,3,26,0.532058492688414,0.35095613048369,0.204161979752531
"hardCorals",4,1770.348,7793,182038,0.042809743020688,973555,7,2,27,0.181059925574233,15.8328578993302,2,23,0.422302065956628,0.236879250609521,0.116129860130887
"hardCorals",5,252.904,14349,657311,0.021829849188588,973555,4,2,15,0.122586939856436,15.6163720131928,2,23,0.327270193044811,0.168304411457244,0.0773573071294167
"hardCorals",6,36.129,22318,1805298,0.01236250192489,973555,3,2,11,0.100636257729187,15.2937320970257,1,21,0.274710995608926,0.137377901245631,0.0620127251545837
"hardCorals",7,5.161,31520,3792953,0.00831014779249835,973555,3,1,9,0.0861992385786802,14.7671171551899,1,20,0.246256345177665,0.120526649746193,0.0506027918781726
"mangroves",1,609788.442,78,842,0.0926365795724466,89820,10,3.25,111,0.294871794871795,5.27294850420312,3.5,6,0.512820512820513,0.346153846153846,0.256410256410256
"mangroves",2,86801.78,126,5799,0.0217278841179514,89820,10.5,2,161.25,0.333333333333333,4.01486625383058,3,5.5,0.507936507936508,0.396825396825397,0.317460317460317
"mangroves",3,12393.435,235,36893,0.00636977204347708,89820,15,3,229,0.365957446808511,3.84494083980241,3,5.5,0.565957446808511,0.412765957446808,0.314893617021277
"mangroves",4,1770.348,447,182038,0.00245553126270339,89820,18,3.5,162,0.373601789709172,3.76161717749539,3,5,0.595078299776286,0.431767337807606,0.297539149888143
"mangroves",5,252.904,968,657311,0.0014726666676809,89820,15,4,65,0.294421487603306,2.9999835346455,2,3,0.590909090909091,0.377066115702479,0.173553719008264
"mangroves",6,36.129,2208,1805298,0.00122306677346344,89820,10,3,27,0.137228260869565,2.54141054101996,2,3,0.502264492753623,0.234148550724638,0.0439311594202899
"mangroves",7,5.161,5547,3792953,0.00146244891513288,89820,5,2,10,0.0263205336217775,2.87764226862748,2,3,0.276185325401118,0.050477735712998,0.0124391563007031
"marineMammals",1,609788.442,730,842,0.866983372921615,4855260,212,39,1993,0.717808219178082,4.07993558152704,6,9,0.871232876712329,0.793150684931507,0.627397260273973
"marineMammals",2,86801.78,3884,5799,0.669770650112088,4855260,33,6,259,0.43254376930999,2.99999995372931,2,5,0.694387229660144,0.51956745623069,0.34140061791967
"marineMammals",3,12393.435,18589,36893,0.503862521345513,4855260,8,2,56,0.262897412448222,2,2,3,0.469847759427618,0.32018935929851,0.188068212383668
"marineMammals",4,1770.348,73360,182038,0.402992781726892,4855260,4,1,18,0.127385496183206,2,1,2,0.348705016357688,0.183969465648855,0.0693157033805889
"marineMammals",5,252.904,217692,657311,0.331185694442965,4855260,3,1,8,0.0433594252430039,2.03092783505152,1,3,0.219998897524944,0.073861235139555,0.0229131065909634
"marineMammals",6,36.129,589527,1805298,0.326553843188216,4855260,2,1,3,0.0154344075843854,1.99999999999996,1,2,0.0866728750337135,0.0269724711506004,0.00695981693798588
"marineMammals",7,5.161,1183783,3792953,0.312100624500225,4855260,1,1,2,0.005848200219128,1.88848061859825,1,2,0.0401306658399386,0.0102873584094382,0.00307319838179802
"seabirds",1,609788.442,817,842,0.970308788598575,23744889,867,123,6455,0.813953488372093,13.9127294751236,27,38,0.930232558139535,0.8531211750306,0.763769889840881
"seabirds",2,86801.78,5058,5799,0.872219348163476,23744889,84,11,590,0.569592724396995,11.1556198748219,9,22,0.761565836298932,0.635429023329379,0.481217872676947
"seabirds",3,12393.435,26361,36893,0.714525790800423,23744889,17,3,96,0.348848677971245,10.5406441699133,4,17,0.58829331208983,0.420659307310041,0.24562801107697
"seabirds",4,1770.348,112475,182038,0.617865500609763,23744889,6,2,22,0.153082907312736,11.072677004956,2,17,0.40143142920649,0.208170704601022,0.100511224716604
"seabirds",5,252.904,379397,657311,0.577195574088978,23744889,2,1,8,0.0789146988510716,10.3553976300064,1,15,0.218915805870895,0.108709346673801,0.0518032562197382
