"cell","value_from","value_to","delta","pct","n_from","n_to"
"820f57fffffffff",22.4450308535019,21.1761127671329,-1.26891808636904,-5.65344772591862,1654,4865
"820f5ffffffffff",8.96314670446483,17.4113051317637,8.44815842729889,94.2543808090366,85,440
"820f77fffffffff",15.8515361044366,24.377574522058,8.52603841762138,53.7868277335915,691,6800
"821287fffffffff",5.4749750744328,11.6763119333707,6.20133685893789,113.26694230805,19619,10536
"82128ffffffffff",5.41837674728771,1.43170862769716,-3.98666811959054,-73.576798098917,120,38885
"821297fffffffff",12.5890051133895,24.9609009379105,12.371895824521,98.2754055073219,212971,229997
"82129ffffffffff",3.32672246992981,26.1983657676991,22.8716432977692,687.512814925369,96248,211522
"8212a7fffffffff",5.05173209338907,4.98049653854307,-0.0712355548460035,-1.41012139062611,827,624
"8212affffffffff",3.26525092633668,3.70401994492474,0.438769018588065,13.4375283396773,533,608
"8212b7fffffffff",13.5593120420108,20.6311745400993,7.07186249808847,52.1550243565287,76658,95789
"8212c7fffffffff",11,2.951133261908,-8.048866738092,-73.1715158008364,50,129
"8212d7fffffffff",4.88729320055908,3.49410374443607,-1.39318945612301,-28.5063612709718,1129,1576
"8212f7fffffffff",3.84572077447081,2.99951012102303,-0.846210653447781,-22.0039546049524,378,718
"821327fffffffff",16,19.7966408698902,3.79664086989023,23.729005436814,50,92
"821397fffffffff",6.4289617485119,22.3669884912627,15.9380267427508,247.909808242987,61,145
"82139ffffffffff",3.96623634833534,4.92307667548772,0.956840327152376,24.1246421826064,240,156
"821657fffffffff",31.6843114990192,28.3471864298371,-3.33712506918206,-10.5324209720807,77,94
"82165ffffffffff",32.8192929511494,31.6447199511661,-1.17457299998324,-3.57891012987866,81,165
"821807fffffffff",20.6260059396298,25.1914248268391,4.56541888720931,22.1342847499018,913,204454
"82180ffffffffff",27.2841772565118,22.9585675921184,-4.32560966439348,-15.8539127778211,394,126547
"821817fffffffff",40.2462264337499,20.1290353235752,-20.1171911101748,-49.985285311879,309,51145
"82181ffffffffff",36.3249756872202,20.6218739881936,-15.7031016990265,-43.2294899086503,1282,32038
"821827fffffffff",18.8114659214538,25.117883968401,6.3064180469472,33.524330710213,9597,127936
"82182ffffffffff",25.1217192310017,24.0308651646421,-1.09085406635959,-4.34227473179229,802,124976
"821867fffffffff",2.9280035607122,26.3929542253501,23.4649506646379,801.397613701341,710,30428
"821877fffffffff",21.1624786969385,27.6643979557399,6.50191925880141,30.7238076971675,2629,116634
"821907fffffffff",19.8386810984665,22.7508877340246,2.91220663555813,14.6794367080342,10824,49182
"82190ffffffffff",23.0567198402869,19.3553209806137,-3.70139885967322,-16.0534494295489,17774,139095
"821917fffffffff",38.129516024486,6.24723969759065,-31.8822763268953,-83.615738281129,184,2757
"82191ffffffffff",25.0590073489083,23.8017980847364,-1.25720926417186,-5.01699547259454,4417,40474
"821927fffffffff",17.6547227768154,18.7291767459006,1.07445396908527,6.08592942901528,967,3633
"82192ffffffffff",15.2785911853894,23.315195910979,8.03660472558963,52.6004304197553,45714,62366
"821947fffffffff",16.7617976083643,21.7709492832289,5.00915167486458,29.8843345558889,31750,59110
"82194ffffffffff",18.3331817636623,13.1522170491529,-5.18096471450943,-28.2600411717865,17385,433570
"821957fffffffff",20.8731793982705,23.5888096696749,2.7156302714044,13.0101419605938,12947,70462
"82195ffffffffff",25.7874915439832,23.7105038547984,-2.07698768918473,-8.05424477073398,7231,49282
"821967fffffffff",12.970635102168,15.4384648063426,2.46782970417453,19.0262827127257,44912,55190
"82196ffffffffff",17.9147787906919,19.8982353440897,1.9834565533978,11.0716217965714,100015,73686
"821977fffffffff",13.3544512390396,17.9611036843323,4.60665244529275,34.495258268838,43275,37838
"82198ffffffffff",34.4062340618525,3.34821326546969,-31.0580207963829,-90.268585456198,999,849
"8219a7fffffffff",22.7955232909862,15.6216440622191,-7.17387922876709,-31.470561729126,58,598
"8219affffffffff",34.0741679149153,17.5546919123049,-16.5194760026103,-48.4809373595276,1021,33776
"821a17fffffffff",15.2695834333828,29.0227034771784,13.7531200437956,90.0687311071505,19381,1844
"821a1ffffffffff",17.9353209019056,28.3718449322565,10.436524030351,58.1897814231032,8267,1197
"821a37fffffffff",19.3986798534398,27.5623581598724,8.16367830643255,42.0836797560992,257,204
"821a87fffffffff",17.8842047572572,28.0370243841401,10.1528196268829,56.7697572505316,17187,3299
"821a8ffffffffff",18.7594055013955,26.5134343219853,7.7540288205898,41.3340860935757,10018,2622
"821a97fffffffff",15.7197474868061,15.7274352994777,0.00768781267167107,0.0489054463382673,50820,27409
"821aa7fffffffff",9.33915478548744,1.35471406850215,-7.98444071698529,-85.4942540345589,48787,206665
"821aaffffffffff",12.9217893424195,23.4279197041718,10.5061303617523,81.3055381367575,19023,2711
"821ab7fffffffff",18.1064282813178,21.8181552759098,3.71172699459205,20.4994985036437,45548,14223
"821b87fffffffff",13.4066240530777,2.08636493140013,-11.3202591216776,-84.4378053480125,9357,850164
"821b8ffffffffff",12.5167098187811,18.3327634746758,5.81605365589466,46.4663137525787,51198,3815
"821b97fffffffff",19.7122860158226,26.8951942638392,7.18290824801657,36.4387379639835,4113,3992
"821b9ffffffffff",8.70623757814283,3.7039551154784,-5.00228246266443,-57.4563055253943,11373,28517
"821ba7fffffffff",15.3342911920154,29.6132721623107,14.2789809702953,93.1179719459766,13319,1706
"821baffffffffff",15.858286423651,27.8929853751535,12.0346989515025,75.889025018201,14262,1364
"821d2ffffffffff",1.35155166751965,21.760219026367,20.4086673588473,1510.01754866694,2842,60020
"821db7fffffffff",21.4385696147884,18.0086547307932,-3.42991488399527,-15.9988047039729,1246,59
"821e8ffffffffff",14.9433628204276,22.369982871533,7.42662005110544,49.6984523520585,788,377
"821ea7fffffffff",31.1704807966588,10.2459934283258,-20.924487368333,-67.1291774574614,421,1398
"821eaffffffffff",8.16883116883236,6.2446032855507,-1.92422788328166,-23.555730844621,154,982
"821f07fffffffff",6.88213144246461,11.786099408406,4.90396796594138,71.2565286922969,312,176409
"821f0ffffffffff",4.60877359893968,8.33515228113886,3.72637868219919,80.8540190183458,132,68626
"821f27fffffffff",17.2794010585727,18.5770249228973,1.29762386432457,7.50965765494973,38199,98375
