"cell","spue","effort","target","sdm","bin"
"852a051bfffffff",0,48,0,100,0
"852a0593fffffff",0.144578313253012,83,12,100,3
"852a062bfffffff",0.163265306122449,49,8,100,3
"852a062ffffffff",0.21875,96,21,100,3
"852a0667fffffff",0.0412371134020619,97,4,100,2
"852a1117fffffff",0.0303030303030303,33,1,100,1
"852a1cc7fffffff",0.00662251655629139,151,1,100,1
"852a1eb3fffffff",0,31,0,100,0
"852a225bfffffff",0.0729166666666667,96,7,100,2
"852ac6c7fffffff",0.0303030303030303,33,1,100,1
"852b1d1bfffffff",0.0761904761904762,105,8,100,2
"85351a2bfffffff",0,98,0,100,0
"85351b1bfffffff",0,48,0,100,0
"85351bcbfffffff",0,166,0,100,0
"8535a907fffffff",0,390,0,100,0
"8535a96ffffffff",0,41,0,100,0
"8535a973fffffff",0,57,0,100,0
"8535aba7fffffff",0.032258064516129,31,1,100,1
"85464e4ffffffff",0.219512195121951,41,9,100,3
"85464e73fffffff",0.695187165775401,374,260,100,4
"85464edbfffffff",3.97503676909011e-05,25157,1,100,1
"85480ca3fffffff",0.0816326530612245,49,4,100,2
"85480dc3fffffff",0.0676923076923077,650,44,100,2
"854cc097fffffff",0.950819672131147,61,58,100,4
"85a8167bfffffff",0.867924528301887,53,46,100,4
"85e44a5bfffffff",0.0512820512820513,39,2,100,2
"85e45ddbfffffff",0.0882352941176471,34,3,100,2
"85e45ea3fffffff",0.0909090909090909,33,3,100,2
"8509a083fffffff",0.00970873786407767,103,1,100,1
"8509a18bfffffff",0,65,0,100,0
"850d8a47fffffff",0.991596638655462,119,118,100,5
"850e4917fffffff",0.032258064516129,31,1,100,1
"8512b417fffffff",0.127272727272727,165,21,100,2
"8512b473fffffff",0.703703703703704,54,38,100,4
"8513930bfffffff",0.590909090909091,132,78,100,4
"85139a43fffffff",0.905511811023622,635,575,100,4
"85139ed7fffffff",0.611510791366906,139,85,100,4
"851825cffffffff",0.0105263157894737,95,1,100,1
"8518740bfffffff",0.0048780487804878,410,2,100,1
"85187463fffffff",0,38,0,100,0
"85190c9bfffffff",0.00837696335078534,955,8,100,1
"85190cc7fffffff",0.0544747081712062,257,14,100,2
"85190cdbfffffff",0.0416666666666667,816,34,100,2
"85190eb3fffffff",0.0161290322580645,62,1,100,1
"851a8c87fffffff",0.985507246376812,69,68,100,5
"851aa00ffffffff",0.926829268292683,41,38,100,4
"851aa08bfffffff",0.813953488372093,43,35,100,4
"851d24c7fffffff",0.989130434782609,184,182,100,5
"851d2503fffffff",0.946745562130177,169,160,100,4
"851d2d93fffffff",1,80,80,100,5
"8522d057fffffff",0.994350282485876,177,176,100,5
"8528c607fffffff",0.166666666666667,30,5,100,3
"8528d177fffffff",0.707547169811321,106,75,100,4
"8529a563fffffff",0.127118644067797,118,15,100,2
"8529a567fffffff",0.394557823129252,147,58,100,3
"8529a5bbfffffff",0,30,0,100,0
"852a004ffffffff",0.0170940170940171,234,4,100,1
"852a008ffffffff",0.0178571428571429,56,1,100,1
